Outline Level,Name,Duration,Predecessors,Priority,Notes
1,1. Purchase System,1d,,600,Complete order flow with cart tracking
2,1.1 Design enhanced order flow,1d,,500,
2,1.2 Build shopping cart,3d,3,600,
2,1.3 Add order status tracking,2d,4,600,
2,1.4 Admin order management improvements,1d,5,500,
1,2. Promo Banners,1d,,500,Full-width banners between product grids
2,2.1 Design promo banner data model,0.5d,,400,
2,2.2 Admin promo banner editor,2d,8,600,
2,2.3 Render banners on homepage,1d,9,600,
1,3. Category Grid,1d,,500,3 image cards linking to collections
2,3.1 Design category grid component,0.5d,,400,
2,3.2 Build homepage category grid,1.5d,12,600,
1,4. Store Locations,1d,,500,Sections with addresses and map
2,4.1 Design store locations data model,0.5d,,400,
2,4.2 Admin locations editor,1d,15,600,
2,4.3 Build locations section + map,1.5d,16,700,
1,5. Product Page,1d,,500,Size guide and related products
2,5.1 Add size guide popup,1d,,500,
2,5.2 Add related products section,1d,,500,
1,6. Contact Page,1d,,500,Contact form with map
2,6.1 Design contact page layout,0.5d,,400,
2,6.2 Implement contact form + map,1.5d,22,600,
1,7. SEO,1d,,400,Meta tags and sitemap
2,7.1 Add meta tags,0.5d,,500,
2,7.2 Generate sitemap,0.5d,,400,
1,8. Deployment,1d,,500,Push and deploy
2,8.1 Push to GitHub,0.5d,,400,
2,8.2 Deploy to Vercel,0.5d,28,500,
